地點,Date,台幣,台幣結算,描述,日圓,照片,第幾天,類別
飯店早餐,,,0,,,,01/12(五)函館,🧁 吃喝
登別伊達時代村,"January 12, 2024 9:00 (GMT+9) → 13:00",,660,,3000,https://edo-trip.jp/tw/wp-content/themes/edo-trip/home/images/slicer01-visual.jpg,01/12(五)函館,⛱ 景點
前往函館,"January 12, 2024 13:00 (GMT+9) → 16:00",,0,車程大約3hr,,,01/12(五)函館,🚗 移動
函館夜景,"January 12, 2024 16:00 (GMT+9)",,396,16:30 日落,1800,https://edo-trip.jp/tw/wp-content/themes/edo-trip/home/images/slicer01-visual.jpg,01/12(五)函館,⛱ 景點
前往洞爺湖,"January 14, 2024 8:00 (GMT+9) → 10:30",,0,車程2.5hr,,,01/14(日) 洞爺湖-小樽,🚗 移動
洞爺湖散步,"January 14, 2024 10:30 (GMT+9) → 14:30",,0,洞爺湖汽船(50min一圈)、筒倉展望台(洞爺湖布丁),,https://i0.wp.com/travo.guide/wp-content/uploads/2019/09/%E6%B4%9E%E7%88%BA%E6%B9%96.jpg?resize=1068%2C519&ssl=1,01/14(日) 洞爺湖-小樽,⛱ 景點
函館朝市,"January 13, 2024 7:00 (GMT+9) → 9:30",,0,,,https://mimihan.tw/wp-content/uploads/20181206163658_83.jpg,01/13(六) 大沼-五稜郭,⛱ 景點
金森倉庫,"January 13, 2024 9:30 (GMT+9) → 11:00",,0,營業時間: 09:30~20:00 (要上官網在確認一下),,https://tw.visit-hokkaido.jp/wp-content/uploads/2020/11/ph3289-01.jpg,01/13(六) 大沼-五稜郭,⛱ 景點
小樽散步,"January 15, 2024 9:00 (GMT+9) → 15:00",,0,,,https://tw.visit-hokkaido.jp/wp-content/uploads/2020/11/ph3041-01_Fotor-scaled.jpg,01/15 (一) 小樽-狸小路-Ricoland,⛱ 景點
羊蹄山山腳,"January 14, 2024 14:30 (GMT+9) → 15:30",,0,,,https://static.gltjp.com/glt/prd/data/directory/14000/13094/20220410_093851_3e57cde8_w1920.jpg,01/14(日) 洞爺湖-小樽,⛱ 景點
往小樽,"January 14, 2024 15:30 (GMT+9) → 17:00",,0,車程1.5hr,,,01/14(日) 洞爺湖-小樽,🚗 移動
往札幌,"January 15, 2024 15:00 (GMT+9) → 15:45",,0,車程45min,,,01/15 (一) 小樽-狸小路-Ricoland,🚗 移動
往千歲北方雪上公園,"January 16, 2024 8:00 (GMT+9) → 9:00",,0,車程1hr,,,01/16(二) 雪上公園-藻岩山,🚗 移動
狸小路商店街,"January 15, 2024 15:45 (GMT+9) → 18:00",,0,"三丁目到五丁目，藥妝店大概9~11點開20~22點關，唐吉軻德24hr，Laox免稅店 11:00~21:00
三丁目和四丁目交界的貍小路站附近也有設置的電扶梯，可以連接札幌地下街。",,https://mimihan.tw/wp-content/uploads/20180823201936_79.jpg,01/15 (一) 小樽-狸小路-Ricoland,⛱ 景點
往北海道神宮,"January 18, 2024 8:00 (GMT+9) → 8:15",,0,約1hr,,,01/18(四) 北海道神宮-新千歲-台北,🚗 移動
北海道神宮,"January 18, 2024 8:15 (GMT+9) → 10:15",,0,,,https://pic.pimg.tw/anrine910070/1569554185-1031068296.jpg,01/18(四) 北海道神宮-新千歲-台北,⛱ 景點
往旭川,"January 17, 2024 8:30 (GMT+9) → 10:30",,0,車程2hr,,,01/17 (三) 旭川、青池,🚗 移動
